"Id_Criterion","Cd_Criterion","Description","Label","Rank","Url","Reference_Id_Reference","Theme_Id_Theme"
"287","Rgaa42019-12-1","Chaque ensemble de pages dispose-t-il de deux systèmes de navigation différents, au moins (hors cas particuliers) ?","12.1","84",,"2","26"
"288","Rgaa42019-12-2","Dans chaque ensemble de pages, le menu et les barres de navigation sont-ils toujours à la même place (hors cas particuliers) ?","12.2","85",,"2","26"
"289","Rgaa42019-12-3","La page « plan du site » est-elle pertinente ?","12.3","86",,"2","26"
"290","Rgaa42019-12-4","Dans chaque ensemble de pages, la page « plan du site » est-elle atteignable de manière identique ?","12.4","87",,"2","26"
"291","Rgaa42019-12-5","Dans chaque ensemble de pages, le moteur de recherche est-il atteignable de manière identique ?","12.5","88",,"2","26"
"292","Rgaa42019-12-6","Les zones de regroupement de contenus présentes dans plusieurs pages web (zones den-tête, de navigation principale, de contenu principal, de pied de page et de moteur de recherche) peuvent-elles être atteintes ou évitées ?","12.6","89",,"2","26"
"293","Rgaa42019-12-7","Dans chaque page web, un lien dévitement ou daccès rapide à la zone de contenu principal est-il présent (hors cas particuliers) ?","12.7","90",,"2","26"
"294","Rgaa42019-12-8","Dans chaque page web, lordre de tabulation est-il cohérent ?","12.8","91",,"2","26"
"295","Rgaa42019-12-9","Dans chaque page web, la navigation ne doit pas contenir de piège au clavier. Cette règle est-elle respectée ?","12.9","92",,"2","26"
"296","Rgaa42019-12-10","Dans chaque page web, les raccourcis clavier nutilisant qu une seule touche (lettre minuscule ou majuscule, ponctuation, chiffre ou symbole) ont-ils une alternative ?","12.10","93",,"2","26"
"297","Rgaa42019-12-11","Dans chaque page web, les contenus additionnels apparaissant au survol, à la prise de focus ou à lactivation dun composant dinterface sont-ils si nécessaire atteignables au clavier ?","12.11","94",,"2","26"
"298","Rgaa42019-13-1","Pour chaque page web, lutilisateur a-t-il le contrôle de chaque limite de temps modifiant le contenu (hors cas particuliers) ?","13.1","95",,"2","27"
"299","Rgaa42019-13-2","Dans chaque page web, louverture dune nouvelle fenêtre ne doit pas être déclenchée sans action de lutilisateur. Cette règle est-elle respectée ?","13.2","96",,"2","27"
"300","Rgaa42019-13-3","Dans chaque page web, chaque document bureautique en téléchargement possède-t-il, si nécessaire, une version accessible ?","13.3","97",,"2","27"
"301","Rgaa42019-13-4","Pour chaque document bureautique ayant une version accessible, cette version offre-t-elle la même information ?","13.4","98",,"2","27"
"302","Rgaa42019-13-5","Dans chaque page web, chaque contenu cryptique (art ASCII, émoticon, syntaxe cryptique) a-t-il une alternative ?","13.5","99",,"2","27"
"303","Rgaa42019-13-6","Dans chaque page web, pour chaque contenu cryptique (art ASCII, émoticon, syntaxe cryptique) ayant une alternative, cette alternative est-elle pertinente ?","13.6","100",,"2","27"
"304","Rgaa42019-13-7","Dans chaque page web, les changements brusques de luminosité ou les effets de flash sont-ils correctement utilisés ?","13.7","101",,"2","27"
"305","Rgaa42019-13-8","Dans chaque page web, chaque contenu en mouvement ou clignotant est-il contrôlable par lutilisateur ?","13.8","102",,"2","27"
"306","Rgaa42019-13-9","Dans chaque page web, le contenu proposé est-il consultable quelle que soit lorientation de lécran (portait ou paysage) (hors cas particuliers) ?","13.9","103",,"2","27"
"307","Rgaa42019-13-10","Dans chaque page web, les fonctionnalités utilisables ou disponibles au moyen dun geste complexe peuvent-elles être également disponibles au moyen dun geste simple (hors cas particuliers) ?","13.10","104",,"2","27"
"308","Rgaa42019-13-11","Dans chaque page web, les actions déclenchées au moyen dun dispositif de pointage sur un point unique de lécran peuvent-elles faire lobjet dune annulation (hors cas particuliers) ?","13.11","105",,"2","27"
"309","Rgaa42019-13-12","Dans chaque page web, les fonctionnalités qui impliquent un mouvement de lappareil ou vers lappareil peuvent-elles être satisfaites de manière alternative (hors cas particuliers).","13.12","106",,"2","27"
